"","BioRep_Index","Media","Intercept","Slope","DT"
"1","Cdc73-AID - osTIR_YPD_1","YPD",-2.31911259675945,0.418138555759714,2.39155176250873
"2","Cdc73-AID - osTIR_YPD_2","YPD",-2.68917234763686,0.400997152239171,2.49378329600595
"3","Cdc73-AID - osTIR_YPD_Aux_1","YPD_Aux",-2.33818079651173,0.415718842663529,2.4054719136447
"4","Cdc73-AID - osTIR_YPD_Aux_2","YPD_Aux",-2.61461925788707,0.395480377443199,2.52857046022119
"5","Cdc73-AID + osTIR_YPD_1","YPD",-2.42185823014366,0.39947062084502,2.50331300430718
"6","Cdc73-AID + osTIR_YPD_2","YPD",-2.55107665801526,0.401217797275611,2.49241186904045
"7","Cdc73-AID + osTIR_YPD_Aux_1","YPD_Aux",-2.39405450332159,0.376289356313622,2.65752932742147
"8","Cdc73-AID + osTIR_YPD_Aux_2","YPD_Aux",-2.53381931113243,0.36922320367336,2.70838882835941
"9","cdc73D_YPD_1","YPD",-2.23390791535155,0.442553803137081,2.25961226163105
"10","cdc73D_YPD_2","YPD",-2.25703758976515,0.431012035242723,2.32012082780207
"11","cdc73D_YPD_Aux_1","YPD_Aux",-2.2123660695898,0.457648498697314,2.18508309946712
"12","cdc73D_YPD_Aux_2","YPD_Aux",-2.32824827757338,0.434030716272904,2.30398440135107
"13","Ctr9-AID - osTIR_YPD_1","YPD",-2.2526240083011,0.455219997616513,2.19674004928584
"14","Ctr9-AID - osTIR_YPD_2","YPD",-2.20647570923784,0.457773604538866,2.18448593384352
"15","Ctr9-AID - osTIR_YPD_Aux_1","YPD_Aux",-2.27078100699537,0.454622357973878,2.19962785036951
"16","Ctr9-AID - osTIR_YPD_Aux_2","YPD_Aux",-2.27095731129456,0.455777090874744,2.19405498876822
"17","Ctr9-AID + osTIR_YPD_1","YPD",-2.1699395803641,0.451556617621958,2.21456172044675
"18","Ctr9-AID + osTIR_YPD_2","YPD",-2.20941185261109,0.465207979771163,2.14957619706331
"19","Ctr9-AID + osTIR_YPD_Aux_1","YPD_Aux",-2.11789516080869,0.37733813902131,2.6501429264311
"20","Ctr9-AID + osTIR_YPD_Aux_2","YPD_Aux",-2.14550138171173,0.402597102737759,2.48387281776186
"21","ctr9D_YPD_1","YPD",-2.37855014252684,0.278256362744826,3.59380820670414
"22","ctr9D_YPD_2","YPD",-2.45313070352558,0.262479953944459,3.80981474955456
"23","ctr9D_YPD_Aux_1","YPD_Aux",-2.35416536324366,0.274233300391049,3.64653015725672
"24","ctr9D_YPD_Aux_2","YPD_Aux",-2.48113730651919,0.271171333378538,3.68770543530892
"25","Paf1-AID - osTIR_YPD_1","YPD",-2.57010980545843,0.368823361720164,2.71132499670323
"26","Paf1-AID - osTIR_YPD_2","YPD",-2.56498684038167,0.35534537480163,2.81416354598184
"27","Paf1-AID - osTIR_YPD_Aux_1","YPD_Aux",-2.77223692636451,0.39316977418521,2.54343051185041
"28","Paf1-AID - osTIR_YPD_Aux_2","YPD_Aux",-2.70175281159661,0.400250601348626,2.49843472222289
"29","Paf1-AID + osTIR_YPD_1","YPD",-2.62728739151927,0.38324401100299,2.6093036584783
"30","Paf1-AID + osTIR_YPD_2","YPD",-2.65236406738009,0.384845238239258,2.59844711753534
"31","Paf1-AID + osTIR_YPD_Aux_1","YPD_Aux",-2.47088868468547,0.347001666243146,2.88183054227554
"32","Paf1-AID + osTIR_YPD_Aux_2","YPD_Aux",-2.4488774799722,0.334127432598888,2.99287009217371
"33","paf1D_YPD_1","YPD",-2.52144246358778,0.255434750014915,3.9148941165664
"34","paf1D_YPD_2","YPD",-2.62910824786941,0.245836713039076,4.06774068705128
"35","paf1D_YPD_Aux_1","YPD_Aux",-2.70116615249684,0.249049174717595,4.01527128581708
"36","paf1D_YPD_Aux_2","YPD_Aux",-2.78830540206982,0.250802087960856,3.98720763503402
"37","Rtf1-AID - osTIR_YPD_1","YPD",-2.66394825902279,0.400926735683232,2.49422129032096
"38","Rtf1-AID - osTIR_YPD_2","YPD",-2.65414065039942,0.426197214147449,2.346331620211
"39","Rtf1-AID - osTIR_YPD_Aux_1","YPD_Aux",-2.69784453903375,0.38479489433466,2.59878708039792
"40","Rtf1-AID - osTIR_YPD_Aux_2","YPD_Aux",-2.58108160473045,0.360528219512967,2.77370798144702
"41","Rtf1-AID + osTIR_YPD_1","YPD",-2.89114584472899,0.374469768625023,2.67044253978578
"42","Rtf1-AID + osTIR_YPD_2","YPD",-3.03584538728823,0.398030071644393,2.51237298696722
"43","Rtf1-AID + osTIR_YPD_Aux_1","YPD_Aux",-3.03899508235179,0.349546467263186,2.86084996890289
"44","Rtf1-AID + osTIR_YPD_Aux_2","YPD_Aux",-3.1380821506144,0.356091813717909,2.80826450223365
"45","rtf1D_YPD_1","YPD",-3.07490887921984,0.340693448212703,2.9351899933681
"46","rtf1D_YPD_2","YPD",-3.09858901161264,0.334178596199389,2.99241187608361
"47","rtf1D_YPD_Aux_1","YPD_Aux",-3.14994519466835,0.335411673141907,2.98141084546249
